gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000068831,0.255474452554745,0.591240875912409,0.153284671532847,211.9,55.42,0.77478480740973,0.0466357482343157,9.00082683682468e-05,0.717689033480465
ENSG00000068976,0.277372262773723,0.591240875912409,0.131386861313869,155.42,54.43,0.727886148435183,0.0466357482343157,0.0142773103755088,0.725766059205038
ENSG00000100897,0.295620437956204,0.591240875912409,0.113138686131387,78.68,41.51,0.685408768167372,0.0466357482343157,0.469907437876203,0.819681270342787
ENSG00000102882,0.284671532846715,0.591240875912409,0.124087591240876,121.12,37.64,0.711239887281605,0.0466357482343157,0.106627523156102,0.843328760023033
ENSG00000114383,0.237226277372263,0.591240875912409,0.171532846715328,107.94,40.4,0.810096558998569,0.0466357482343157,0.18900354324491,0.826682391926288
ENSG00000114631,0.321167883211679,0.591240875912409,0.0875912408759123,148.33,48.08,0.621682104937916,0.0466357482343157,0.0230617287003588,0.77470451340433
ENSG00000126460,0.22992700729927,0.591240875912409,0.178832116788321,113.05,39.74,0.823211641855385,0.0466357482343157,0.153308221051293,0.830762030703555
ENSG00000161328,0.259124087591241,0.591240875912409,0.14963503649635,123,40.21,0.767300875815713,0.0466357482343157,0.0974092158608929,0.827863201020409
ENSG00000162572,0.22992700729927,0.591240875912409,0.178832116788321,102.46,49.44,0.823211641855385,0.0466357482343157,0.232509317809114,0.764658334417448
ENSG00000166816,0.240875912408759,0.591240875912409,0.167883211678832,165.77,41.53,0.803320397694835,0.0466357482343157,0.00666723625497512,0.819553517921772
ENSG00000168071,0.255474452554745,0.591240875912409,0.153284671532847,131.53,49.31,0.77478480740973,0.0466357482343157,0.0628296685647816,0.765629195367737
ENSG00000185813,0.339416058394161,0.591240875912409,0.0693430656934306,117.91,59.19,0.573913720996631,0.0466357482343157,0.123792794106957,0.68592730555498
ENSG00000243477,0.291970802919708,0.591240875912409,0.116788321167883,87.62,53.67,0.694129110413928,0.0466357482343157,0.373807060334392,0.731888185439873
